hour,day,month,weather,vehicle_count,traffic_volume,avg_speed,road_occupancy,congestion_index,traffic_density
6,Sunday,2,Clear,457,710,35.9,50.66,30.87,Low
19,Monday,8,Clear,10,51,59.49,1.0,0.74,Low
14,Tuesday,8,Clear,32,53,60.05,1.0,5.19,Low
10,Saturday,11,Clear,308,432,44.57,32.64,14.73,Low
7,Saturday,1,Clear,525,810,30.15,60.71,34.91,Low
20,Friday,8,Cloudy,10,20,48.86,1.0,0.15,Low
6,Saturday,5,Rainy,441,665,34.75,48.01,27.49,Low
18,Wednesday,2,Rainy,10,20,54.35,1.0,4.64,Low
22,Sunday,2,Clear,10,48,50.9,5.77,6.45,Low
10,Thursday,6,Clear,260,411,43.27,29.99,17.51,Low
10,Friday,11,Rainy,356,531,35.1,41.1,19.26,Low
23,Wednesday,9,Clear,34,20,60.51,6.22,6.95,Low
20,Wednesday,1,Clear,10,20,51.91,1.5,5.77,Low
3,Monday,12,Rainy,342,534,34.45,35.58,17.56,Low
7,Saturday,6,Rainy,377,573,35.85,47.54,23.87,Low
23,Tuesday,9,Clear,107,115,52.89,12.67,11.45,Low
2,Tuesday,8,Clear,357,481,43.43,38.84,21.1,Low
21,Friday,11,Rainy,12,23,48.96,1.29,0.08,Low
20,Sunday,6,Clear,10,20,64.05,1.0,2.88,Low
1,Tuesday,3,Rainy,224,307,36.8,24.01,12.81,Low
23,Thursday,8,Rainy,158,257,38.39,19.79,12.98,Low
11,Tuesday,9,Cloudy,325,523,40.89,31.43,16.92,Low
5,Friday,1,Clear,429,620,31.38,43.35,23.88,Low
1,Tuesday,12,Foggy,268,400,24.07,32.57,23.77,Low
20,Thursday,9,Rainy,10,20,56.92,1.0,0.0,Low
0,Monday,6,Clear,211,311,44.53,28.3,18.06,Low
11,Sunday,6,Clear,267,401,39.98,31.71,21.19,Low
21,Friday,12,Rainy,10,37,47.44,1.0,0.74,Low
11,Monday,4,Clear,309,443,40.27,37.21,23.9,Low
16,Monday,1,Clear,10,20,58.79,7.1,2.37,Low
9,Monday,10,Clear,449,724,32.08,52.12,27.2,Low
15,Wednesday,8,Foggy,44,98,48.29,8.22,3.85,Low
14,Sunday,2,Foggy,131,163,44.68,13.7,11.94,Low
14,Saturday,12,Rainy,10,20,45.13,6.08,0.02,Low
18,Sunday,1,Clear,10,45,56.41,1.0,7.19,Low
11,Wednesday,2,Clear,179,290,48.43,21.58,11.94,Low
22,Saturday,1,Rainy,10,28,50.67,13.96,10.8,Low
19,Sunday,1,Clear,10,20,64.91,3.81,5.03,Low
2,Monday,9,Clear,330,546,49.2,34.56,19.77,Low
4,Friday,1,Rainy,474,717,40.79,50.55,25.92,Low
18,Saturday,4,Cloudy,10,20,45.15,1.0,6.44,Low
6,Thursday,10,Rainy,562,869,19.28,66.7,36.99,Medium
20,Thursday,6,Rainy,10,20,60.57,1.84,0.38,Low
8,Tuesday,7,Cloudy,605,917,17.75,63.98,40.26,Medium
6,Saturday,2,Clear,515,778,43.21,53.97,29.74,Low
17,Friday,6,Rainy,10,29,52.24,1.87,6.92,Low
3,Wednesday,7,Cloudy,295,413,43.17,32.99,18.62,Low
13,Monday,10,Clear,189,239,44.15,23.27,11.95,Low
17,Tuesday,10,Rainy,10,58,49.24,5.7,5.7,Low
8,Thursday,2,Rainy,362,550,42.64,53.86,27.93,Low
20,Wednesday,2,Rainy,10,38,51.26,1.0,0.59,Low
1,Wednesday,10,Rainy,262,340,36.68,32.55,21.49,Low
19,Monday,7,Cloudy,10,47,58.53,1.6,8.0,Low
14,Saturday,12,Foggy,100,134,42.04,1.89,2.58,Low
6,Thursday,1,Clear,425,613,40.48,53.47,26.28,Low
